image,description,tags
processed_preferences_images\64169bde459f76e9f53bd31312240622_nobg.png,"Blusa blanca de encaje con volados y escote con lazo, en estilo boho chic y coquette. Short blanco de encaje de tiro medio, en estilo boho chic. Cinturón marrón. Botas western de gamuza por encima de la rodilla, color camel con bordados.","Estilos: boho chic, coquette"
processed_preferences_images\371ed352822dbff9aec0bad420320abc_nobg.png,"Vestido mini color crema con volados, escote en V profundo y mangas largas, en estilo boho chic y coquette. Cinturón de gamuza marrón con hebilla redonda, en estilo boho chic. Botas de gamuza marrón por debajo de la rodilla, en estilo boho chic.","Estilos: boho chic, coquette"
processed_preferences_images\15ea3794ec46d5a835bb1d5d1b6d30e2_nobg.png,"Vestido lencero marrón con estampado floral y dobladillo asimétrico con flecos, en estilo boho chic y para salir de noche. Cinturón plateado con conchos en estilo western.","Estilos: boho chic, salir de noche"
processed_preferences_images\cc8d12af6387ea1e00a9aa711a5ff937_nobg.png,"Pollera larga tejida con rayas en colores cálidos, en estilo boho chic. Blusa blanca suelta con escote profundo, en estilo boho chic y minimalista. Chaleco de gamuza marrón de estilo boho chic. Pollera larga marrón color crema y marrón con diseño de espiga, en estilo boho chic y minimalista. Top halter boho chic sin mangas con detalle de aro.","Estilos: boho chic, minimalista"
processed_preferences_images\8cb70393edc5fdd0f6720a62dbbc25f1_nobg.png,"Blusa color crema con bordado en el frente y mangas globo, en estilo boho chic y coquette. Jeans celestes de pierna recta, en estilo minimalista.","Estilos: boho chic, coquette, minimalista"
processed_preferences_images\47648456f89e56a4cab4c5913d49437a_nobg.png,"Blusa crop blanca con ojales, mangas anchas acampanadas y lazo delantero, en estilo boho chic y coquette. Pantalones wide leg color crema de con tela de textura suave, en estilo boho chic y minimalista.","Estilos: boho chic, coquette, minimalista"
processed_preferences_images\196c6f664773ff241757cd213c77bac9_nobg.png,"Blusa corta blanca de encaje con mangas largas globo y borde festoneado, en estilo boho chic y coquette. Pantalones anchos de lino beige con cintura elástica, en estilo boho chic y minimalista.","Estilos: boho chic, coquette, minimalista"
processed_preferences_images\df72ce13bd0f58021ae8fb1139134396_nobg.png,"Blusa color crema con volados, ribete de encaje y mangas largas, en estilo boho chic y coquette. Short mini de tiro alto en color marrón, en estilo boho chic. Botas de gamuza marrón hasta la rodilla con flecos largos, en estilo boho chic.","Estilos: boho chic, coquette"
processed_preferences_images\8e3d87091241cdb544e1f0baea2a33dd_nobg.png,"Blusa blanca bordada con escote de borlas y mangas anchas, en estilo boho chic. Pantalones wide leg color tostado, tiro alto y tela fluida, en estilo boho chic.",Estilos: boho chic
processed_preferences_images\a3980d4555fd7037c801b087369a5171_nobg.png,"Top negro de tirantes finos con escote profundo, en estilo minimalista y para salir de noche. Pantalón wide leg color beige de tiro alto con pliegues, en estilo old money y minimalista.","Estilos: minimalista, salir de noche, old money"
processed_preferences_images\be1a65f665f38ee0e884a8fbfff761c1_nobg.png,"Chaleco blanco sin mangas con bordado floral azul llamativo, en estilo boho chic. Jeans wide leg azules de tiro medio, en estilo boho chic y streetwear.","Estilos: boho chic, streetwear"
processed_preferences_images\1d25034701a0cf74f24be721f768d136_nobg.png,"Blusa blanca con volados, mangas acampanadas y escote abierto, en estilo boho chic y coquette. Short blanco de encaje de tiro medio con bordes festoneados, en estilo boho chic. Botas de gamuza color camel por encima de la rodilla con bordado floral, en estilo boho chic.","Estilos: boho chic, coquette"
processed_preferences_images\993c49c575ad4adf8eaddc1f041b2fb1_nobg.png,"Blusa boho roja con estampado paisley y mangas sueltas, en estilo boho chic. Jeans azules rectos de tiro alto, en estilo streetwear y boho chic.","Estilos: boho chic, streetwear"
processed_preferences_images\ddd11b795071ece16b4dc96993dfb425_nobg.png,"Top corto verde salvia con tirantes finos, en estilo boho chic. Pantalones wide leg blancos con tela arrugada y cintura elástica, en estilo boho chic y minimalista. Kimono transparente con estampado floral y silueta fluida, en estilo boho chic.","Estilos: boho chic, minimalista"
processed_preferences_images\f4ecf8c786a47fa5d76741b4b82170d6_nobg.png,"Blusa blanca larga sin mangas con frente abierto y escote profundo, en estilo boho chic y para salir de noche. Pantalones wide leg marrones de tiro alto y estampado de leopardo, en estilo para salir de noche y streetwear.","Estilos: salir de noche, boho chic, streetwear"
processed_preferences_images\c44de2dfa5140a18cdb20cf51258a98a_nobg.png,"Remera corta blanca con mangas cortas, en estilo streetweare. pollera mini de jean celeste con dobladillo deshilachado y cinturón marrón, en estilo streetwear y coquette. Botas marrones hasta la rodilla, en estilo boho chic.","Estilos: streetwear, coquette, boho chic"
